자치구,id,다문화가정,장애아동, 가정위탁수급자수,소년소녀가장수급자수,요보호아동수급자수,복지시설수,시설대비종사자수,기초생활수급자수,표준화합
종로구,11110,215,236,34,1,33,13,5.54,492,-1.514376324
중구,11140,258,124,45,1,30,8,5.75,635,-1.486121327
용산구,11170,418,286,54,0,64,10,9.2,1040,-0.919214223
성동구,11200,432,376,109,1,59,13,5.38,1361,-0.433595091
광진구,11215,396,403,118,3,92,16,2.69,1844,-0.341161767
동대문구,11230,458,400,94,0,113,16,2.44,1988,-0.327820749
중랑구,11260,575,555,183,0,140,30,3.53,3762,0.829303687
성북구,11290,516,621,147,4,140,39,3.26,2644,0.423825685
강북구,11305,426,567,267,1,115,25,2.44,3010,0.894487939
도봉구,11320,426,472,128,0,120,19,2.95,2581,0.011264921
노원구,11350,571,952,182,1,174,27,4.48,4152,1.318874112
은평구,11380,756,827,124,3,127,36,3.31,3968,1.216907653
서대문구,11410,322,479,61,0,102,18,6.17,2033,-0.701695702
마포구,11440,342,493,120,1,101,17,4.82,1349,-0.435785376
양천구,11470,558,682,87,0,123,36,3.19,2695,0.252817508
강서구,11500,731,812,108,0,129,29,3.1,3293,0.885647246
구로구,11530,979,644,132,0,105,34,4.47,1909,0.925574396
금천구,11545,550,328,120,3,107,29,4.34,1728,-0.186789089
영등포구,11560,647,441,63,1,71,25,7.52,1308,-0.263673489
동작구,11590,386,521,79,0,102,32,5.91,1776,-0.45344475
관악구,11620,583,613,202,8,150,43,4.26,2418,0.727097688
서초구,11650,205,568,62,0,108,12,2.83,1098,-0.941246803
강남구,11680,274,735,81,3,129,7,6,1703,-0.409533029
송파구,11710,453,897,169,5,177,28,3.43,2522,0.667935304
강동구,11740,467,812,116,2,150,27,5.04,2135,0.260721579
