,zx다문화,zx장애아동,zx가정위탁수급자수,zx기초생활수급자,sum
1,-0.42625952,-0.331649355,-0.417010175,-0.339457275,-1.514376324
2,-0.356503243,-0.448544898,-0.360657448,-0.320415739,-1.486121327
3,-0.096945003,-0.279463845,-0.314550672,-0.228254703,-0.919214223
4,-0.074233657,-0.185529926,-0.032787041,-0.141044467,-0.433595091
5,-0.132634261,-0.157349751,0.013319735,-0.064497492,-0.341161767
6,-0.032055443,-0.160480881,-0.109631668,-0.025652758,-0.327820749
7,0.15774652,0.001294201,0.346313118,0.323949848,0.829303687
8,0.062034419,0.070179074,0.161886014,0.129726178,0.423825685
9,-0.083967091,0.013818723,0.776643028,0.187993279,0.894487939
10,-0.083967091,-0.085333746,0.064549486,0.116016272,0.011264921
11,0.151257564,0.415647152,0.341190143,0.410779253,1.318874112
12,0.451371779,0.285183377,0.044057586,0.436294911,1.216907653
13,-0.252679947,-0.078027775,-0.278689846,-0.092298134,-0.701695702
14,-0.220235167,-0.063415832,0.023565686,-0.175700063,-0.435785376
15,0.130168457,0.133845397,-0.145492493,0.134296147,0.252817508
16,0.410815804,0.269527723,-0.037910016,0.243213734,0.885647246
17,0.813131076,0.094184409,0.085041387,-0.066782476,0.925574396
18,0.117190545,-0.235628016,0.023565686,-0.091917304,-0.186789089
19,0.274547728,-0.117688763,-0.268443896,-0.152088558,-0.263673489
20,-0.148856651,-0.034191946,-0.186476294,-0.083919859,-0.45344475
21,0.170724432,0.061829393,0.443649645,0.050894218,0.727097688
22,-0.44248191,0.014862433,-0.273566871,-0.240060456,-0.941246803
23,-0.330547419,0.189162038,-0.176230344,-0.091917304,-0.409533029
24,-0.040166638,0.358243091,0.274591466,0.075267384,0.667935304
25,-0.017455292,0.269527723,0.003073785,0.005575362,0.260721579
